ContentNormalizedHash,PostId,PostTypeId,ParentId,RootDomain,CompleteDomain,Url
-8649425730671794367,47293881,2,47293707,codepen.io,codepen.io,https://codepen.io/tjvantoll/pen/JEKIu
-8649425730671794367,44282357,2,44282116,codepen.io,codepen.io,https://codepen.io/tjvantoll/pen/JEKIu
-6372083550668317880,37648012,1,37648012,codepen.io,codepen.io,http://codepen.io/anon/pen/QEbROy
1344295840820905821,39126257,1,39126257,codepen.io,codepen.io,http://codepen.io/CodeBroJohn/pen/jAoZar
4363154865873797243,47810580,2,47804923,codepen.io,codepen.io,https://codepen.io/ajaypatelaj/pen/prHjD
4363154865873797243,39910398,1,39910398,codepen.io,codepen.io,https://codepen.io/ajaypatelaj/pen/prHjD
4363154865873797243,40236369,2,40230188,codepen.io,codepen.io,http://codepen.io/meuequalsd/pen/mAorxE
-1215409948733236595,47063864,1,47063864,codepen.io,codepen.io,https://codepen.io/MarcoGuglielmelli
-1215409948733236595,47063864,1,47063864,codepen.io,codepen.io,https://codepen.io/MarcoGuglielmelli/pen/lLCxy/
-1215409948733236595,47063864,1,47063864,codepen.io,codepen.io,https://codepen.io
5135640990147307673,48450719,2,48450476,codepen.io,codepen.io,https://codepen.io/chriscoyier/pen/dpBMVP
5135640990147307673,44076712,1,44076712,codepen.io,codepen.io,http://codepen.io/jmgiorgi_/pres/cLyCk
6911894444565405339,46535451,2,46459278,codepen.io,codepen.io,https://codepen.io/jamesbarnett/pen/vlpkh?editors=1100
6911894444565405339,42433282,1,42433282,codepen.io,codepen.io,https://codepen.io/jamesbarnett/pen/vlpkh
6911894444565405339,47300895,2,47300759,codepen.io,codepen.io,https://codepen.io/jamesbarnett/pen/vlpkh
6911894444565405339,40169385,2,40169106,codepen.io,codepen.io,https://codepen.io/jamesbarnett/pen/vlpkh
-4840774419216094811,41196556,1,41196556,codepen.io,codepen.io,http://codepen.io/SitePoint/pen/MwNPVq
-4840774419216094811,35587387,1,35587387,codepen.io,codepen.io,http://codepen.io/anon/pen/WrVXNE
-4840774419216094811,49574092,2,49573927,codepen.io,codepen.io,https://codepen.io/anon/pen/bvvYYV
159097874188000167,48653264,2,48652773,codepen.io,codepen.io,https://codepen.io/anon/pen/GQjdjR
-2904074365666005080,44842574,2,44842399,codepen.io,codepen.io,https://codepen.io/elmahdim/pen/hlmri
-2904074365666005080,51498738,2,51491432,codepen.io,codepen.io,https://codepen.io/elmahdim/pen/hlmri
7763152455261233074,49447680,1,49447680,codepen.io,codepen.io,https://codepen.io/anon/pen/LdLgNo
7763152455261233074,49447680,1,49447680,codepen.io,codepen.io,https://codepen.io/anon/pen/LdLgNo
-5210259840589668157,32699688,1,32699688,codepen.io,codepen.io,http://codepen.io/eternalminerals/pen/GpqNLQ
-7070538668226392881,44766570,1,44766570,codepen.io,codepen.io,https://codepen.io/Sidney-Dev/pen/JJrgpG
-7505672966891028527,49708460,2,39418405,codepen.io,codepen.io,https://codepen.io/uniqname/pen/eIApt
-7317379377815570479,36523773,1,36523773,codepen.io,codepen.io,http://codepen.io/anon/pen/VaQwqK
6618768693384569066,52086592,1,52086592,codepen.io,codepen.io,https://codepen.io/chris-hitchcock/pen/RYoNvX
