ContentNormalizedHash,PostId,PostTypeId,ParentId,LinkedPostId,LinkedPostTypeId
1378262500655963470,47418628,1,47418628,33971231,1
8541304374232709818,6000132,1,6000132,3819589,2
8541304374232709818,6000132,1,6000132,1700870,1
-7843133856949444157,11636228,1,11636228,5553874,1
7155572158323857901,2593540,1,2593540,1006135,1
928457498567162399,24155652,1,24155652,18599519,1
6129636017501875932,48403972,1,48403972,48462896,1
5459181342720342591,18454276,1,18454276,5068770,1
6888439916938288664,25336836,1,25336836,25103662,1
2780976368825606887,27697924,1,27697924,15152486,1
-1941874415676002219,15705092,1,15705092,12374486,2
-1941874415676002219,15705092,1,15705092,12374486,2
-675092315263026867,7513348,1,7513348,2597608,1
-675092315263026867,7513348,1,7513348,388434,1
-1426835966922795842,33793540,1,33793540,27870963,1
-1426835966922795842,33793540,1,33793540,25661197,1
3579294752537850138,37857540,1,37857540,34607130,2
-8814078006498057288,38840836,1,38840836,10887893,1
-8167102363179144250,11840516,1,11840516,9128672,1
-8167102363179144250,11840516,1,11840516,2222697,1
-8167102363179144250,11840516,1,11840516,4178350,1
6424172984543259573,28880388,1,28880388,28834398,1
-6040878164145398856,37793540,1,37793540,12621264,2
-7353404091073314261,48018180,1,48018180,19130441,1
-6324279556814018765,12760324,1,12760324,3842384,1
-1545593658882134687,29538308,1,29538308,14803205,1
1393615798986979738,32290820,1,32290820,13709477,1
-1877482057276451828,14138628,1,14138628,3426406,1
4222487810543904352,38649604,1,38649604,19733948,1
23037475020345735,18465028,1,18465028,2867901,1
-8265057381830143931,34132484,1,34132484,34119386,1
-6929632776236982284,47108612,1,47108612,24232892,1
-6929632776236982284,47108612,1,47108612,33197230,1
-6929632776236982284,47108612,1,47108612,42890375,1
-7984312284717456924,24369924,1,24369924,24354891,1
5143289450769860024,24369924,1,24369924,24354891,1
-5963393402250114608,22666500,1,22666500,22651038,1
-8422789452046077310,47832836,1,47832836,47830554,2
-1616216305426531546,21815556,1,21815556,6149155,1
-1616216305426531546,21815556,1,21815556,7462754,1
-5214199244163856835,42984708,1,42984708,26572415,1
-4368458979225532493,21621764,1,21621764,7305928,1
8031841880558701303,19853828,1,19853828,3757442,1
8034892141029366400,51180292,1,51180292,50992263,1
-9194935205512751888,49017860,1,49017860,48978329,1
-1358547142368066207,41809412,1,41809412,18341009,1
-8543393104879982532,17954564,1,17954564,15267423,1
2383885154590369833,19266820,1,19266820,17177749,2
-3483067662318604657,50134276,1,50134276,27203817,1
-6231637402943167861,36242693,1,36242693,6386098,1
661517953109861731,11535621,1,11535621,8851023,1
-6142243879488893162,14681349,1,14681349,8642363,1
-2319326325083699422,49546757,1,49546757,45872255,1
8094240957339730303,43387653,1,43387653,19957173,2
-4476087928215928295,5967877,1,5967877,5963799,1
8303746105962241657,11800581,1,11800581,11765421,1
2674986972190666827,11800581,1,11800581,11765421,1
7894898015909294886,14684165,1,14684165,14646029,1
7457160588884377878,14684165,1,14684165,14646029,1
7226499750180376550,14684165,1,14684165,14646029,1
1640749367341111139,7410949,1,7410949,7410966,2
-3598239636196987245,51845381,1,51845381,51802068,1
-3598239636196987245,51845381,1,51845381,39154630,2
-3598239636196987245,51845381,1,51845381,39154630,2
-7917205567253916270,51845381,1,51845381,51802068,1
-3598239636196987245,51845381,1,51845381,51802068,1
-7917205567253916270,51845381,1,51845381,39154630,2
-9053760294389487002,40966917,1,40966917,40571549,1
-9053760294389487002,40966917,1,40966917,40540616,1
1465731764397827135,27597573,1,27597573,25357750,1
-8539442660150993066,2891525,1,2891525,584228,1
7279746984176898686,25894917,1,25894917,25891451,1
8272537695542160670,27992069,1,27992069,4204714,1
-5130905519939591318,47391749,1,47391749,30457201,1
-5185803585070699004,43329797,1,43329797,35500322,1
