sample;metric;threshold;numberOfTextPostsWithThisMetric;runtimeTextTotal;truePositivesText;trueNegativesText;falsePositivesText;falseNegativesText;numberOfCodePostsWithThisMetric;runtimeCodeTotal;truePositivesCode;trueNegativesCode;falsePositivesCode;falseNegativesCode
PostId_VersionCount_SO_17-06_sample_100_1;twoGramOverlapNormalized;0.9;97;17279905;249;466;5;11;97;25412978;145;232;3;5
PostId_VersionCount_SO_17-06_sample_100_1;cosineTwoShingleNormalizedTermFrequency;0.4;93;24563617;233;436;3;4;96;32728236;144;230;3;3
PostId_VersionCount_SO_17-06_sample_100_1;tokenDice;0.6;97;5481497;249;469;2;11;97;6528329;145;233;2;5
PostId_VersionCount_SO_17-06_sample_100_1;winnowingThreeGramJaccardNormalized;0.7;97;14560853;222;470;1;38;97;23239364;141;233;2;9
PostId_VersionCount_SO_17-06_sample_100_1;damerauLevenshtein;0.9;97;532583135;200;470;1;60;97;1897680246;137;234;1;13
PostId_VersionCount_SO_17-06_sample_100_1;cosineTwoShingleNormalizedTermFrequency;0.3;92;24499952;234;436;3;3;96;32793391;146;230;3;1
PostId_VersionCount_SO_17-06_sample_100_1;winnowingThreeGramOptimalAlignment;0.9;97;33802172;190;470;1;70;97;370829793;135;234;1;15
PostId_VersionCount_SO_17-06_sample_100_1;winnowingTwoGramJaccard;0.3;97;10395886;255;467;4;5;97;17673847;149;232;3;1
PostId_VersionCount_SO_17-06_sample_100_1;winnowingTwoGramOptimalAlignmentNormalized;0.8;97;52953355;210;470;1;50;97;131977340;139;234;1;11
PostId_VersionCount_SO_17-06_sample_100_1;winnowingFiveGramLongestCommonSubsequence;0.9;96;14212109;181;452;1;70;97;116068862;133;234;1;17
PostId_VersionCount_SO_17-06_sample_100_1;twoShingleJaccard;0.6;87;10719926;185;379;1;31;93;11928360;128;219;2;13
PostId_VersionCount_SO_17-06_sample_100_1;threeShingleDiceNormalized;0.5;84;19281377;189;326;3;12;94;31640412;138;222;2;5
PostId_VersionCount_SO_17-06_sample_100_1;twoShingleDice;0.6;87;10206886;197;378;2;19;93;11535765;131;219;2;10
PostId_VersionCount_SO_17-06_sample_100_1;winnowingThreeGramDiceNormalized;0.5;97;14112168;253;469;2;7;97;22830541;148;233;2;2
PostId_VersionCount_SO_17-06_sample_100_1;twoGramOverlapNormalized;0.4;97;17780620;257;465;6;3;97;38038416;150;232;3;0
PostId_VersionCount_SO_17-06_sample_100_1;winnowingTwoGramDiceNormalized;0.9;97;14246945;215;470;1;45;97;22827005;138;234;1;12
PostId_VersionCount_SO_17-06_sample_100_1;cosineThreeGramNormalizedNormalizedTermFrequency;0.8;97;32006814;236;469;2;24;97;38850543;145;233;2;5
PostId_VersionCount_SO_17-06_sample_100_1;fiveGramOverlap;0.9;96;16167880;232;449;4;19;97;24539480;138;231;4;12
PostId_VersionCount_SO_17-06_sample_100_1;fourGramDiceNormalizedPadding;0.7;97;20384363;237;469;2;23;97;29340832;146;233;2;4
PostId_VersionCount_SO_17-06_sample_100_1;manhattanThreeShingleNormalized;0.5;84;22211590;188;326;3;13;94;34369850;137;222;2;6
PostId_VersionCount_SO_17-06_sample_100_1;twoGramJaccardNormalized;0.3;97;18841356;256;467;4;4;97;31743285;149;232;3;1
PostId_VersionCount_SO_17-06_sample_100_1;manhattanThreeGramNormalized;0.7;97;30814145;238;470;1;22;97;39606616;146;233;2;4
PostId_VersionCount_SO_17-06_sample_100_1;winnowingFourGramJaccard;0.7;97;9361260;224;470;1;36;97;17032430;143;234;1;7
