metric;threshold;numberOfTextPostsWithThisMetric;runtimeTextTotal;truePositivesText;trueNegativesText;falsePositivesText;falseNegativesText;numberOfCodePostsWithThisMetric;runtimeCodeTotal;truePositivesCode;trueNegativesCode;falsePositivesCode;falseNegativesCode
fourGramOverlap;0.7;674;381491019;5373;17781;140;183;699;495046650;4329;13513;75;101
winnowingThreeGramDice;0.9;686;222121511;4740;18278;20;912;699;347600773;4073;13566;22;357
longestCommonSubsequenceNormalized;0.5;699;5282591030;5433;18749;72;332;699;8303567742;4319;13535;53;111
threeGramJaccardNormalized;0.8;679;519033790;4765;18014;20;830;699;607205971;4104;13562;26;326
winnowingFiveGramDiceNormalized;0.7;658;325247690;4902;17061;38;478;697;460988606;4235;13519;43;187
tokenJaccardNormalized;0.3;670;561165018;5347;17669;89;176;699;632661260;4342;13526;62;88
twoShingleOverlapNormalized;0.5;616;486111690;4634;14379;112;117;692;607141312;4277;13410;83;109
fiveGramJaccardNormalized;0.4;658;530656766;5089;17038;61;291;697;652278214;4305;13512;50;117
optimalAlignmentNormalized;0.3;699;8614066685;5573;18713;108;192;699;10939134749;4341;13515;73;89
winnowingFiveGramOptimalAlignment;0.6;665;516483975;4923;17457;36;530;699;3053018851;4217;13557;31;213
tokenOverlapNormalized;0.9;670;500084691;5185;17632;126;338;699;578411616;4208;13518;70;222
threeShingleDiceNormalized;0.4;538;438553494;3699;10697;63;146;667;594979419;3853;11088;45;104
twoGramJaccardNormalized;0.8;697;460865224;5044;18791;27;718;699;547247515;4169;13556;32;261
longestCommonSubsequence;0.4;699;5166854116;5529;18727;94;236;699;11686611723;4334;13524;64;96
cosineTokenNormalizedBool;0.9;699;329927130;4835;18801;20;930;699;325494351;3989;13572;16;441
twoShingleJaccardNormalized;0.4;616;496688386;4494;14431;60;257;692;618642410;4247;13445;48;139
threeShingleDice;0.3;527;215535463;3495;9975;66;145;615;290306468;3478;10146;35;144
tokenOverlapNormalized;0.8;670;501892414;5303;17621;137;220;699;582705679;4288;13511;77;142
winnowingFiveGramDice;0.7;665;202200176;5013;17448;45;440;699;354370211;4267;13546;42;163
cosineThreeShingleNormalizedBool;0.9;538;503019884;3017;10754;6;828;667;655315802;3481;11120;13;476
tokenDiceNormalized;0.5;670;499627537;5328;17677;81;195;699;581997714;4337;13526;62;93
fiveGramJaccardNormalizedPadding;0.5;658;552767333;4979;17050;49;401;697;668580240;4269;13518;44;153
cosineFiveGramNormalizedTermFrequency;0.7;658;839624182;4994;17043;56;386;697;919431802;4279;13511;51;143
manhattanTwoGramNormalized;0.9;697;618366310;4826;18799;19;936;699;671984759;4083;13567;21;347
tokenJaccard;0.6;699;133275728;5219;18775;46;546;699;167325802;4157;13557;31;273
winnowingFourGramOptimalAlignment;0.9;674;683649394;4367;17906;15;1189;699;3070856938;3905;13572;16;525
threeGramDiceNormalized;0.8;679;468875066;5049;18000;34;546;699;571650547;4219;13551;37;211
cosineFourGramNormalizedTermFrequency;0.4;665;826622405;5308;17336;105;137;699;892780611;4354;13511;77;76
optimalAlignmentNormalized;0.8;699;8908941768;4915;18796;25;850;699;10953667366;4118;13563;25;312
fourGramOverlap;0.3;674;385251036;5428;17746;175;128;699;498308923;4334;13481;107;96
damerauLevenshtein;0.5;699;11917860008;5421;18754;67;344;699;21044331690;4305;13544;44;125
manhattanTokenNormalized;0.6;699;326858300;5448;18754;67;317;699;323875093;4289;13545;43;141
fourGramOverlapNormalizedPadding;0.9;665;482712705;5060;17351;90;385;699;604904693;4214;13537;51;216
cosineFourGramNormalizedTermFrequency;0.5;665;825185961;5266;17352;89;179;699;880107687;4350;13524;64;80
winnowingFourGramDice;0.5;674;213497576;5339;17840;81;217;699;348415519;4352;13530;58;78
cosineFourGramNormalizedBool;0.8;665;814474513;4874;17410;31;571;699;875375778;4205;13551;37;225
winnowingFourGramDiceNormalized;0.5;665;328577200;5201;17372;69;244;699;463266525;4327;13534;54;103
threeGramDiceNormalized;0.5;679;468640804;5405;17949;85;190;699;573127697;4340;13525;63;90
cosineFiveGramNormalizedBool;0.9;658;838640302;4423;17085;14;957;697;914469653;4012;13540;22;410
winnowingFourGramOptimalAlignmentNormalized;0.5;665;734269976;5053;17392;49;392;699;1842144893;4274;13547;41;156
winnowingThreeGramJaccard;0.8;686;256232660;4781;18277;21;871;699;362597243;4100;13564;24;330
twoShingleDiceNormalized;0.9;616;482604866;3855;14480;11;896;692;606482594;3941;13475;18;445
winnowingThreeGramDiceNormalized;0.9;679;345353597;4649;18016;18;946;699;465513346;4044;13566;22;386
winnowingFiveGramJaccard;0.9;665;209426669;4237;17478;15;1216;699;358154579;3880;13574;14;550
winnowingFourGramOptimalAlignment;0.3;674;683967484;5341;17850;71;215;699;3096948428;4344;13530;58;86
threeGramJaccardNormalizedPadding;0.5;679;536770730;5266;17972;62;329;699;620349205;4307;13538;50;123
tokenOverlapNormalized;0.7;670;499734463;5349;17615;143;174;699;587099869;4312;13504;84;118
winnowingThreeGramOverlap;0.4;686;230349763;5484;18105;193;168;699;371781146;4341;13487;101;89
cosineFiveGramNormalizedTermFrequency;0.8;658;844676479;4825;17070;29;555;697;921461667;4226;13521;41;196
twoShingleJaccard;0.9;596;237451199;3294;13655;7;1238;651;280122871;3250;11398;11;683
fiveGramDiceNormalized;0.4;658;475021687;5210;17008;91;170;697;603157881;4340;13499;63;82
threeShingleOverlapNormalized;0.7;538;436334975;3682;10679;81;163;667;591816617;3770;11074;59;187
fourGramDice;0.5;674;382506693;5352;17841;80;204;699;500205680;4345;13527;61;85
damerauLevenshtein;0.7;699;11789185777;5119;18787;34;646;699;21131603246;4191;13557;31;239
winnowingFiveGramOptimalAlignmentNormalized;0.4;658;576740423;5069;17041;58;311;697;1482422093;4287;13512;50;135
winnowingThreeGramJaccardNormalized;0.8;679;361339759;4698;18014;20;897;699;479814839;4069;13562;26;361
twoGramJaccard;0.3;699;354616874;5621;18685;136;144;699;450731989;4359;13508;80;71
manhattanTwoShingleNormalized;0.3;616;557843279;4627;14411;80;124;692;672425497;4309;13433;60;77
winnowingThreeGramDiceNormalized;0.6;679;345238258;5305;17966;68;290;699;468222111;4316;13536;52;114
cosineFiveGramNormalizedNormalizedTermFrequency;0.5;658;848752566;5196;17015;84;184;697;922033859;4340;13503;59;82
threeGramOverlapNormalizedPadding;0.7;679;481576703;5464;17915;119;131;699;580385110;4344;13519;69;86
winnowingThreeGramJaccard;0.4;686;240934552;5403;18224;74;249;699;365938000;4344;13531;57;86
optimalAlignment;0.7;699;8842566087;5119;18787;34;646;699;15924086240;4191;13557;31;239
winnowingFiveGramOptimalAlignmentNormalized;0.5;658;577956332;4977;17050;49;403;697;1483425028;4265;13519;43;157
